Symbol,Name,LastSale,MarketCap,MktCap,Sector,Industry,SExchange,LSymbol
IVZ,Invesco Plc,36.44,$14.83B,14830000000.00,Finance,Investment Managers,NYSE,ivz
COTY,Coty Inc.,19.81,$14.81B,14810000000.00,Consumer Non-Durables,Package Goods/Cosmetics,NYSE,coty
LSXMK,Liberty Media Corporation,42.48,$14.81B,14810000000.00,Consumer Services,Broadcasting,NASDAQ,lsxmk
VNO,Vornado Realty Trust,78.06,$14.78B,14780000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,vno
DGX,Quest Diagnostics Incorporated,108.22,$14.76B,14760000000.00,Health Care,Medical Specialities,NYSE,dgx
IDXX,"IDEXX Laboratories, Inc.",166.83,$14.7B,14700000000.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ,idxx
HSIC,"Henry Schein, Inc.",184.74,$14.66B,14660000000.00,Health Care,Medical Specialities,NASDAQ,hsic
CA,CA Inc.,34.65,$14.6B,14600000000.00,Technology,Computer Software: Prepackaged Software,NASDAQ,ca
WRK,Westrock Company,58.15,$14.6B,14600000000.00,Consumer Durables,Containers/Packaging,NYSE,wrk
GPN,Global Payments Inc.,95.3,$14.53B,14530000000.00,Miscellaneous,Business Services,NYSE,gpn
QSR,Restaurant Brands International Inc.,61.49,$14.53B,14530000000.00,Consumer Services,Restaurants,NYSE,qsr
AWK,American Water Works,81.35,$14.5B,14500000000.00,Public Utilities,Water Supply,NYSE,awk
TAP,Molson Coors Brewing  Company,89.04,$14.49B,14490000000.00,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,tap
XRAY,DENTSPLY SIRONA Inc.,63.17,$14.48B,14480000000.00,Health Care,Medical/Dental Instruments,NASDAQ,xray
AZO,"AutoZone, Inc.",515.97,$14.46B,14460000000.00,Consumer Services,Other Specialty Stores,NYSE,azo
CTAS,Cintas Corporation,137.11,$14.45B,14450000000.00,Consumer Non-Durables,Apparel,NASDAQ,ctas
VRSK,"Verisk Analytics, Inc.",87.06,$14.39B,14390000000.00,Technology,EDP Services,NASDAQ,vrsk
CNC,Centene Corporation,83.39,$14.38B,14380000000.00,Health Care,Medical Specialities,NYSE,cnc
HBAN,Huntington Bancshares Incorporated,13.18,$14.37B,14370000000.00,Finance,Major Banks,NASDAQ,hban
TWTR,"Twitter, Inc.",19.61,$14.33B,14330000000.00,Technology,"Computer Software: Programming, Data Processing",NYSE,twtr
MLM,"Martin Marietta Materials, Inc.",227.55,$14.29B,14290000000.00,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE,mlm
SEP,"Spectra Energy Partners, LP",45.29,$14.29B,14290000000.00,Public Utilities,Natural Gas Distribution,NYSE,sep
MKL,Markel Corporation,1023.34,$14.27B,14270000000.00,Finance,Property-Casualty Insurers,NYSE,mkl
NLSN,Nielsen N.V.,39.89,$14.25B,14250000000.00,Miscellaneous,Business Services,NYSE,nlsn
